id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2VBLFxCUyFp5BfmsZpxcis,0.436,0.951,7,-4.748,0,0.202,0.0046,0.0,0.149,0.428,169.955,223320,4
7gUuCeZLFynSj28GCjoiGG,0.563,0.645,1,-4.53,1,0.0457,0.00845,8.06e-05,0.295,0.476,135.022,237400,4
7ajpbW6tBpqUI9foCtwlLw,0.553,0.958,4,-3.159,0,0.073,0.0186,3.08e-05,0.297,0.541,170.045,196235,4
2Dzzhb1oV5ckgOjWZLraIB,0.733,0.598,4,-9.453,0,0.0377,0.0307,1.7e-05,0.218,0.831,118.012,197094,4
1sIIlVrnPhrvmTrHtzM7tV,0.502,0.632,0,-4.612,1,0.0273,0.447,0.0,0.103,0.308,152.014,307067,4
4QlSFkbRxZWkHDF1MqBaEY,0.427,0.689,9,-4.35,1,0.0354,0.0918,0.0,0.102,0.733,178.077,276083,4
3cBghvTcQNDNkW98Y4eGaP,0.628,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3
7M0dIdZWN1FDcveRdoOzbZ,0.364,0.628,10,-6.142,1,0.0319,0.238,0.0,0.0931,0.612,93.792,228760,3
4JK1kDUdH9RTBQrrSO1QfR,0.367,0.671,5,-4.604,1,0.0478,0.222,0.0,0.494,0.691,179.833,230600,4
0bdAQ9dwLA5cJtgM05PRKW,0.738,0.864,9,-4.489,1,0.0512,0.203,2.31e-06,0.147,0.951,128.048,226489,4
3YML5IHoqWbw9c9vJJvrvM,0.48,0.669,5,-5.168,1,0.0431,0.0693,0.0,0.149,0.378,155.89,343253,4
45LUKiex0D78VuhP3Oz6mG,0.531,0.731,2,-5.885,0,0.0522,0.0411,0.0,0.151,0.549,150.01,227320,4
4UALTBWz0OdQcjbTsjFceV,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4
3r8RuvgbX9s7ammBn07D3W,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,185507,4
1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10,-3.193,1,0.0516,0.305,0.0,0.115,0.707,134.991,248027,4
3wJHCry960drNlAUGrJLmz,0.679,0.834,5,-3.223,1,0.032,0.343,5.74e-06,0.119,0.962,139.996,198971,4
3khEEPRyBeOUabbmOPJzAG,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,193495,4
65FftemJ1DbbZ45DUfHJXE,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,212253,4
3RvdkNMcSy71m0aT6UF9Uf,0.424,0.761,10,-3.526,1,0.0305,0.0103,0.0,0.145,0.424,145.816,288013,4
2piySGAWgVwsRKm60SfOmF,0.469,0.507,10,-6.21,1,0.0303,0.287,0.0,0.0773,0.469,170.028,240044,3
6x7SB38tuekpu4xpH9OIPY,0.642,0.289,10,-11.86,1,0.0472,0.763,0.0,0.0856,0.282,78.004,273438,4
5W7Y92LB4jWvu9NeEQ0GZl,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0,0.0732,0.652,171.845,219253,4
69lJz2fXXptw0YU5hF3L47,0.836,0.771,7,-4.441,1,0.106,0.435,0.0,0.172,0.664,123.977,177581,4
6A8NfypDHuwiLWbo4a1yca,0.49,0.987,7,-2.279,1,0.253,0.049,3.24e-06,0.406,0.451,175.064,226813,4
4kPlQKwtPrnqLgrmmKFSlA,0.463,0.603,7,-5.464,1,0.0276,0.495,0.0,0.167,0.477,148.089,286360,4
6zjk7Qbwb9DZ4ykUUoqknh,0.445,0.94,7,-4.16,1,0.175,2.77e-05,1.34e-05,0.32,0.349,150.082,286000,4
1VHL1PIkhDwWbFc65xHwOr,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0,0.0991,0.404,89.987,232453,4
34ayWAUrQcrjlKZOJAzqke,0.483,0.629,1,-3.408,1,0.0276,0.288,0.0,0.143,0.459,77.968,235693,4
51oc6MEsXTpnPn6GOw5VuP,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.0,0.357,0.701,116.982,231883,4
51vRumtqbkNW9wrKfESwfu,0.795,0.875,4,-4.079,0,0.0525,0.111,8.94e-05,0.107,0.375,104.008,182149,4
5xoar7MhzRUVqJvGpAtxfP,0.442,0.472,4,-8.472,0,0.0396,0.343,7.4e-06,0.155,0.155,173.984,252340,4
0NUJhYxwcAAB4UQULseQyX,0.666,0.763,11,-5.96,1,0.0281,0.246,0.0,0.0879,0.663,103.01,185945,4
278JqkBGkjDovOYAwE8TW7,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.0,0.141,0.48,96.921,324633,4
70t7Q6AYG6ZgTYmJWcnkUM,0.683,0.875,4,-4.866,0,0.0549,0.0115,0.0,0.084,0.384,122.002,183853,4
7w6NWogvAAFdEhD9MA2uvv,0.751,0.55,2,-7.101,1,0.0534,0.28,0.000249,0.101,0.867,90.952,207167,4
6MXlv5l2I2BRa9pO38dE1a,0.633,0.713,5,-5.467,0,0.105,0.236,0.0,0.433,0.927,82.08,175368,4
